COG,departement,commune,population,Pop_in_QPV_pct,Total_QPV,logements_sociaux_pct,Subventions_parHab,places_migrants_p1k,Total_places_migrants,Number_of_Mosques,Mosque_p100k,Insécurité_Score,Immigration_Score,Islamisation_Score,Défrancisation_Score,Wokisme_Score
23052,23,La Chapelle-Taillefert,444,0.0,0,5.0,16.3,0.0,0,0,0.0,32,29,12,49,20
23053,23,Chard,206,0.0,0,0.0,13.1,0.0,0,0,0.0,12,29,12,49,12
23054,23,Charron,194,0.0,0,0.0,13.1,0.0,0,0,0.0,33,29,12,49,12
23055,23,Châtelard,29,0.0,0,0.0,13.1,0.0,0,0,0.0,15,29,12,49,12
23056,23,Châtelus-le-Marcheix,310,0.0,0,0.0,5.5,0.0,0,0,0.0,33,29,12,49,10
23057,23,Châtelus-Malvaleix,545,0.0,0,8.0,2.7,0.0,0,0,0.0,41,29,12,49,19
23058,23,Le Chauchet,105,0.0,0,0.0,13.1,0.0,0,0,0.0,23,29,12,49,12
23059,23,La Chaussade,97,0.0,0,0.0,13.1,0.0,0,0,0.0,8,29,12,49,12
23060,23,Chavanat,138,0.0,0,0.0,31.4,0.0,0,0,0.0,30,29,12,49,19
23061,23,Chénérailles,736,0.0,0,10.0,13.1,0.0,0,0,0.0,40,29,12,49,26
23062,23,Chéniers,560,0.0,0,6.0,29.9,0.0,0,0,0.0,38,29,12,49,26
23063,23,Clairavaux,151,0.0,0,0.0,13.7,0.0,0,0,0.0,23,29,12,49,12
23064,23,Clugnat,653,0.0,0,2.0,15.0,0.0,0,0,0.0,39,29,12,49,16
23065,23,Colondannes,288,0.0,0,3.0,29.9,0.0,0,0,0.0,35,29,12,49,22
23066,23,Le Compas,192,0.0,0,0.0,13.1,0.0,0,0,0.0,26,29,12,49,12
23067,23,La Courtine,737,0.0,0,12.0,13.7,0.0,0,0,0.0,42,29,12,49,28
23068,23,Cressat,514,0.0,0,0.0,15.0,0.0,0,0,0.0,39,29,12,49,13
23069,23,Crocq,389,0.0,0,20.0,13.1,0.0,0,0,0.0,31,29,12,49,39
23070,23,Crozant,433,0.0,0,0.0,29.9,0.0,0,0,0.0,34,286,12,49,296
23071,23,Croze,187,0.0,0,3.0,37.8,0.0,0,0,0.0,25,29,12,49,25
23072,23,Domeyrot,232,0.0,0,0.0,15.0,0.0,0,0,0.0,36,29,12,49,13
23073,23,Dontreix,405,0.0,0,2.0,13.1,0.0,0,0,0.0,36,29,12,49,15
23074,23,Le Donzeil,188,0.0,0,0.0,31.4,0.0,0,0,0.0,32,29,12,49,19
23075,23,Dun-le-Palestel,1086,0.0,0,14.0,29.9,0.0,0,0,0.0,43,29,12,49,37
23076,23,Évaux-les-Bains,1285,0.0,0,15.0,15.0,0.0,0,0,0.0,43,29,12,49,33
23077,23,Faux-la-Montagne,448,0.0,0,6.0,37.8,0.0,0,0,0.0,33,29,12,49,29
23078,23,Faux-Mazuras,189,0.0,0,0.0,31.4,0.0,0,0,0.0,23,29,12,49,19
23079,23,Felletin,1552,0.0,0,23.0,37.8,0.0,0,0,0.0,51,29,12,49,51
23080,23,Féniers,108,0.0,0,0.0,13.7,0.0,0,0,0.0,19,29,12,49,12
23081,23,Flayat,300,0.0,0,0.0,13.1,0.0,0,0,0.0,29,29,12,49,12
23082,23,Fleurat,307,0.0,0,1.0,5.5,0.0,0,0,0.0,36,29,12,49,11
23083,23,Fontanières,255,0.0,0,5.0,13.1,0.0,0,0,0.0,35,29,12,49,19
23084,23,La Forêt-du-Temple,143,0.0,0,0.0,2.7,0.0,0,0,0.0,29,29,12,49,9
23086,23,Fransèches,241,0.0,0,0.0,31.4,0.0,0,0,0.0,25,29,12,49,19
23087,23,Fresselines,501,0.0,0,1.0,29.9,0.0,0,0,0.0,39,29,12,49,19
23088,23,Gartempe,113,0.0,0,0.0,16.3,0.0,0,0,0.0,22,29,12,49,13
23089,23,Genouillac,724,0.0,0,14.0,2.7,0.0,0,0,0.0,41,29,12,49,27
23090,23,Gentioux-Pigerolles,371,0.0,0,11.0,37.8,0.0,0,0,0.0,1050,329,12,690,684
23091,23,Gioux,179,0.0,0,7.0,37.8,0.0,0,0,0.0,29,29,12,49,30
23092,23,Glénic,644,0.0,0,3.0,16.3,0.0,0,0,0.0,35,29,12,49,17
23093,23,Gouzon,1565,0.0,0,5.0,15.0,0.0,0,0,0.0,48,29,12,49,20
23095,23,Le Grand-Bourg,1182,0.0,0,5.0,5.5,0.0,0,0,0.0,45,29,12,49,16
23096,23,Guéret,12814,19.49,1,27.0,44.4,7.8,100,2,15.61,264,224,268,184,237
23097,23,Issoudun-Létrieix,292,0.0,0,0.0,13.1,0.0,0,0,0.0,25,29,12,49,12
23098,23,Jalesches,94,0.0,0,0.0,2.7,0.0,0,0,0.0,12,29,12,49,9
23099,23,Janaillat,319,0.0,0,0.0,31.4,0.0,0,0,0.0,25,29,12,49,19
